doi,cluster_gemini,secondary_cluster_gemini,confidence_gemini,cluster_manual,agree,agree_any,cluster_gpt,confidence_gpt,secondary_cluster_gpt,field_gpt,secondary_field_gpt,gem_vs_manual,gpt_vs_manual,gem_vs_gpt
10.1037/pspi0000109,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,differential_personality_diagnostics,social_psychology,TRUE,TRUE,TRUE
10.1037/0278-7393.34.3.546,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1016/j.jesp.2020.104019,psychology,sociology_social_sciences,0.99,psychology,TRUE,TRUE,psychology,0.95,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.94.4.579,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1016/j.cognition.2015.01.013,psychology,philosophy,0.95,philosophy,FALSE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,FALSE,FALSE,TRUE
10.1111/j.1467-9280.2008.02041.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/a0019689,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1037/0022-3514.94.4.560,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1073/pnas.2120668119,psychology,sociology_social_sciences,0.9,psychology,TRUE,TRUE,psychology,0.86,sociology_social_sciences,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0278-7393.34.2.408,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02136.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1016/j.neuropsychologia.2009.05.011,psychology,biology,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,biological_neuropsychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1037/a0021524,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.97,NA,cognitive_psychology,differential_personality_diagnostics,TRUE,TRUE,TRUE
10.1073/pnas.1511536112,psychology,sociology_social_sciences,0.85,economics_business,FALSE,FALSE,psychology,0.86,economics_business,social_psychology,NA,FALSE,FALSE,TRUE
10.1177/0956797614558718,psychology,economics_business,0.99,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/1467-9280.00334,psychology,economics_business,0.99,psychology,TRUE,TRUE,psychology,0.97,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1016/j.obhdp.2006.10.001,psychology,economics_business,0.95,psychology,TRUE,TRUE,psychology,0.98,NA,occupational_organisational_business_psychology,social_psychology,TRUE,TRUE,TRUE
10.1016/j.biopsycho.2018.08.007,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,biological_neuropsychology,NA,TRUE,TRUE,TRUE
10.1093/geronb/gbx099,psychology,sociology_social_sciences,0.85,psychology,TRUE,TRUE,psychology,0.82,sociology_social_sciences,social_psychology,developmental_psychology,TRUE,TRUE,TRUE
10.1037/0022-3514.94.3.495,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1717092115,psychology,nutritional_domestic_science,0.95,psychology,TRUE,TRUE,psychology,0.85,health_sciences_general,cognitive_psychology,clinical_psychology,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.204,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797614547705,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/a0012833,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1111/j.1551-6709.2010.01161.x,psychology,NA,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1126/science.1189993,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.96,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1002/jeab.432,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.97,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1016/j.jesp.2005.05.001,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1073/pnas.1601280113,psychology,economics_business,0.85,economics_business,FALSE,TRUE,economics_business,0.78,psychology,social_psychology,NA,FALSE,TRUE,FALSE
10.1257/aer.102.2.834,economics_business,NA,1,economics_business,TRUE,TRUE,economics_business,0.99,NA,NA,NA,TRUE,TRUE,TRUE
10.1257/aer.101.2.526,economics_business,NA,1,economics_business,TRUE,TRUE,economics_business,0.99,NA,NA,NA,TRUE,TRUE,TRUE
10.1126/science.1222426,psychology,economics_business,0.9,psychology,TRUE,TRUE,economics_business,0.82,psychology,cognitive_psychology,NA,TRUE,FALSE,FALSE
10.1093/qje/qjr034,economics_business,psychology,0.99,economics_business,TRUE,TRUE,economics_business,0.99,NA,NA,NA,TRUE,TRUE,TRUE
10.1257/aer.101.2.819,economics_business,NA,0.99,economics_business,TRUE,TRUE,economics_business,0.99,NA,NA,NA,TRUE,TRUE,TRUE
10.1111/nous.12017,philos,NA,0.99,philosophy,FALSE,FALSE,philosophy,0.99,NA,NA,NA,FALSE,TRUE,FALSE
10.1257/aer.102.5.2018,economics_business,health_sciences_general,0.95,economics_business,TRUE,TRUE,economics_business,0.98,NA,NA,NA,TRUE,TRUE,TRUE
10.1017/epi.2013.23,philosophy,psychology,0.99,philosophy,TRUE,TRUE,philosophy,0.98,NA,NA,NA,TRUE,TRUE,TRUE
10.1109/TSE.2016.2527791,computer_science,psychology,0.95,computer_science,TRUE,TRUE,computer_science,0.97,NA,NA,NA,TRUE,TRUE,TRUE
10.1086/268936,psychology,sociology_social_sciences,0.85,political_science,FALSE,FALSE,political_science,0.86,sociology_social_sciences,NA,NA,FALSE,TRUE,FALSE
djärv_2018,general_comparative_literature_linguistics,psychology,0.85,psychology,FALSE,TRUE,general_comparative_literature_linguistics,0.92,NA,NA,NA,FALSE,FALSE,TRUE
10.1038/nature15392,economics_business,sociology_social_sciences,0.9,economics_business,TRUE,TRUE,economics_business,0.9,sociology_social_sciences,NA,NA,TRUE,TRUE,TRUE
10.1126/science.1199427,psychology,education,0.9,education,FALSE,TRUE,education,0.86,psychology,educational_psychology,clinical_psychology,FALSE,TRUE,FALSE
10.1287/orsc.2021.1456,economics_business,sociology_social_sciences,0.95,economics_business,TRUE,TRUE,economics_business,0.92,sociology_social_sciences,NA,NA,TRUE,TRUE,TRUE
10.1002/pam.21702,public_administration,political_science,0.85,political_science,FALSE,TRUE,public_administration,0.92,political_science,NA,NA,FALSE,FALSE,TRUE
10.1073/pnas.1606574113,psychology,economics_business,0.9,psychology,TRUE,TRUE,economics_business,0.75,psychology,social_psychology,cognitive_psychology,TRUE,FALSE,FALSE
10.1111/lang.12161,general_comparative_literature_linguistics,psychology,0.9,education,FALSE,FALSE,general_comparative_literature_linguistics,0.95,psychology,cognitive_psychology,NA,FALSE,FALSE,TRUE
10.1257/aer.104.6.1735,economics_business,NA,1,economics_business,TRUE,TRUE,economics_business,0.98,NA,NA,NA,TRUE,TRUE,TRUE
10.1111/j.1933-1592.2012.00609.x,philosophy,NA,0.99,philosophy,TRUE,TRUE,philosophy,0.98,NA,NA,NA,TRUE,TRUE,TRUE
10.1093/qje/qjt035,economics_business,psychology,0.99,economics_business,TRUE,TRUE,economics_business,0.98,NA,NA,NA,TRUE,TRUE,TRUE
10.1257/aer.101.7.3109,economics_business,psychology,0.99,economics_business,TRUE,TRUE,economics_business,0.98,NA,NA,NA,TRUE,TRUE,TRUE
10.1257/aer.101.6.2562,economics_business,psychology,0.98,economics_business,TRUE,TRUE,economics_business,0.98,NA,NA,NA,TRUE,TRUE,TRUE
10.1016/j.learninstruc.2014.08.004,psychology,education,0.85,education,FALSE,TRUE,education,0.96,NA,NA,NA,FALSE,TRUE,FALSE
10.1177/0093650215609676,media_communication_studies,psychology,0.95,media_communication_studies,TRUE,TRUE,media_communication_studies,0.95,psychology,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.5840/jphil20111081238,philosophy,psychology,0.95,philosophy,TRUE,TRUE,philosophy,0.99,NA,NA,NA,TRUE,TRUE,TRUE
10.1257/aer.101.2.470,economics_business,psychology,1,economics_business,TRUE,TRUE,economics_business,0.99,NA,NA,NA,TRUE,TRUE,TRUE
10.1177/0001839219840022,economics_business,psychology,0.9,public_administration,FALSE,FALSE,economics_business,0.92,NA,NA,NA,FALSE,FALSE,TRUE
10.1257/aer.102.1.337,economics_business,NA,1,economics_business,TRUE,TRUE,economics_business,0.98,NA,NA,NA,TRUE,TRUE,TRUE
10.1086/269239,psychology,sociology_social_sciences,0.85,political_science,FALSE,FALSE,political_science,0.9,psychology,cognitive_psychology,NA,FALSE,TRUE,FALSE
10.1257/aer.101.2.927,economics_business,NA,1,economics_business,TRUE,TRUE,economics_business,0.99,NA,NA,NA,TRUE,TRUE,TRUE
10.1075/resla.17019.loz,general_comparative_literature_linguistics,english_american_studies,0.95,general_comparative_literature_linguistics,TRUE,TRUE,general_comparative_literature_linguistics,0.96,NA,NA,NA,TRUE,TRUE,TRUE
10.1126/science.1211180,economics_business,psychology,0.95,psychology,FALSE,TRUE,economics_business,0.9,sociology_social_sciences,NA,NA,FALSE,FALSE,TRUE
10.1007/s11858-016-0819-3,education,psychology,0.85,education,TRUE,TRUE,education,0.96,NA,NA,NA,TRUE,TRUE,TRUE
10.1257/aer.104.11.3434,economics_business,law,0.99,economics_business,TRUE,TRUE,economics_business,0.98,NA,NA,NA,TRUE,TRUE,TRUE
10.1080/09515089.2014.894431,philosophy,psychology,0.95,psychology,FALSE,TRUE,philosophy,0.92,psychology,social_psychology,NA,FALSE,FALSE,TRUE
10.1177/0267658310386439,general_comparative_literature_linguistics,NA,0.95,psychology,FALSE,FALSE,general_comparative_literature_linguistics,0.96,NA,NA,NA,FALSE,FALSE,TRUE
10.1257/aer.101.4.1211,economics_business,psychology,0.99,economics_business,TRUE,TRUE,economics_business,0.98,NA,NA,NA,TRUE,TRUE,TRUE
10.1257/aer.102.7.3317,economics_business,NA,0.99,economics_business,TRUE,TRUE,economics_business,0.99,NA,NA,NA,TRUE,TRUE,TRUE
10.1093/analys/63.3.190,philosophy,psychology,0.99,philosophy,TRUE,TRUE,philosophy,0.98,NA,NA,NA,TRUE,TRUE,TRUE
10.1038/nature12774,psychology,biology,0.7,sociology_social_sciences,FALSE,FALSE,sociology_social_sciences,0.9,NA,NA,NA,FALSE,TRUE,FALSE
10.1257/aer.103.4.1325,economics_business,psychology,0.99,economics_business,TRUE,TRUE,economics_business,0.99,NA,NA,NA,TRUE,TRUE,TRUE
10.1073/pnas.1704032114,economics_business,biology,0.7,psychology,FALSE,FALSE,biology,0.85,economics_business,NA,NA,FALSE,FALSE,FALSE
10.1038/nature13530,economics_business,psychology,0.9,economics_business,TRUE,TRUE,economics_business,0.92,political_science,NA,NA,TRUE,TRUE,TRUE
10.1111/1467-8284.00419,philosophy,psychology,0.95,philosophy,TRUE,TRUE,philosophy,0.96,NA,NA,NA,TRUE,TRUE,TRUE
10.1073/pnas.1616921114,economics_business,psychology,0.85,psychology,FALSE,TRUE,economics_business,0.9,psychology,social_psychology,cognitive_psychology,FALSE,FALSE,TRUE
10.1111/ecin.12470,economics_business,education,0.95,economics_business,TRUE,TRUE,economics_business,0.97,education,NA,NA,TRUE,TRUE,TRUE
10.1016/j.jsams.2017.06.007,sport_sciences,human_medicine,0.95,sport_sciences,TRUE,TRUE,sport_sciences,0.97,NA,NA,NA,TRUE,TRUE,TRUE
10.1257/aer.102.2.720,economics_business,NA,1,economics_business,TRUE,TRUE,economics_business,0.98,NA,NA,NA,TRUE,TRUE,TRUE
